,custid,retained,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,favday,city
0,6H6T6N,0,2012-09-28,2013-08-11 00:00:00,2013-08-11 00:00:00,29,100.0,3.448275862,14.52,0.0,0,0,0,Monday,DEL
1,APCENR,1,2010-12-19,2011-04-01 00:00:00,2014-01-19 00:00:00,95,92.63157895,10.52631579,83.69,0.181640625,1,1,1,Friday,DEL
2,7UP6MS,0,2010-10-03,2010-12-01 00:00:00,2011-07-06 00:00:00,0,0.0,0.0,33.58,0.059907834,0,0,0,Wednesday,DEL
3,7ZEW8G,0,2010-10-22,2011-03-28 00:00:00,2011-03-28 00:00:00,0,0.0,0.0,54.96,0.0,0,0,0,Thursday,BOM
4,8V726M,1,2010-11-27,2010-11-29 00:00:00,2013-01-28 00:00:00,30,90.0,13.33333333,111.91,0.008849558,0,0,0,Monday,BOM
5,2B6B83,1,2008-11-17,2010-10-12 00:00:00,2014-01-14 00:00:00,46,80.43478261,15.2173913,175.1,0.141176471,1,1,0,Wednesday,DEL
6,99XGVM,1,2011-01-24,2011-05-16 00:00:00,2014-01-16 00:00:00,60,43.33333333,6.666666667,116.55,0.125,0,1,0,Friday,BOM
7,U3MP5L,1,2009-12-04,2011-09-21 00:00:00,2014-01-16 00:00:00,64,28.125,15.625,68.1,0.04009434,1,1,0,Friday,DEL
8,ELKAGQ,1,2010-09-18,2010-11-09 00:00:00,2010-11-09 00:00:00,45,0.0,0.0,46.6,0.0,0,0,0,Wednesday,DEL
9,3SBQP2,1,2010-12-29,2011-02-20 00:00:00,2013-12-10 00:00:00,34,94.11764706,8.823529412,66.07,0.133789063,1,0,0,Monday,DEL
10,YMALVV,1,2010-09-22,2010-11-18 00:00:00,2014-01-15 00:00:00,48,83.33333333,2.083333333,89.04,0.086655113,0,0,1,Friday,DEL
11,GW8NT7,1,2009-11-16,2011-05-09 00:00:00,2014-01-05 00:00:00,40,87.5,45.0,88.3,0.088477366,0,0,0,Wednesday,DEL
12,TFKLD4,1,2009-07-25,2010-11-15 00:00:00,2014-01-19 00:00:00,69,2.898550725,2.898550725,126.81,0.059431525,1,1,1,Monday,DEL
13,RAQ92T,1,2010-03-14,2011-03-01 00:00:00,2013-10-06 00:00:00,38,36.84210526,23.68421053,116.77,0.078947368,0,0,0,Tuesday,DEL
14,DMJERJ,0,2011-04-11,2011-04-14 00:00:00,2014-01-13 00:00:00,16,12.5,0.0,59.25,0.129353234,1,1,0,Tuesday,DEL
15,FJKD8W,1,2011-03-08,2011-03-27 00:00:00,2014-01-07 00:00:00,45,60.0,15.55555556,49.73,0.044247788,1,1,0,Wednesday,BOM
16,HEPCW7,0,2010-10-02,2011-01-25 00:00:00,2014-01-12 00:00:00,13,61.53846154,15.38461538,156.54,0.119113573,1,0,0,Monday,DEL
17,2JZAE3,1,2010-08-30,2012-03-12 00:00:00,2013-10-15 00:00:00,48,8.333333333,2.083333333,101.06,0.037800687,0,0,0,Monday,DEL
18,BYS2DU,1,2011-02-02,2011-04-10 00:00:00,2014-01-19 00:00:00,57,17.54385965,0.0,14.02,0.066009852,0,0,0,Monday,BOM
19,F6MHUM,1,2010-09-14,2011-05-03 00:00:00,2014-01-15 00:00:00,46,65.2173913,8.695652174,79.39,0.069838057,1,0,0,Thursday,DEL
20,LSL6QK,0,2011-02-22,2011-05-02 00:00:00,2011-05-02 00:00:00,0,0.0,0.0,29.17,0.0,0,0,0,Monday,BOM
21,9SVNMF,1,2010-12-18,2010-12-19 00:00:00,2012-07-18 00:00:00,47,2.127659574,0.0,79.88,0.006932409,0,0,0,Wednesday,DEL
